inicio,fin,cantidad_viajes
2793 East 7th Street,221 East 9th Street,373
Gillis District Park Trail,3600 Presidential Boulevard,371
106 East 55th Street,221 East 9th Street,371
207 West 18th Street,400 1/2 South 1st Street,370
221 East 9th Street,2207 De Verne Street,369
1000 East 41st Street,221 East 9th Street,369
"Cambria Hotel Austin Airport, Discovery Lane",221 East 9th Street,368
Red River Street,2106 West 7th Street,367
1403 East 2nd Street,400 1/2 South 1st Street,366
709 West 6th Street,4504 Avenue C,365
2605 Whitis Avenue,5209 North Lamar Boulevard,364
2207 De Verne Street,709 West 6th Street,364
1155 Curve Street,207 West 18th Street,364
909 East Koenig Lane,3600 Presidential Boulevard,363
811 East Riverside Drive,3600 Presidential Boulevard,362
Red River Street,2002 Dexter Street,361
221 East 9th Street,1204 West 29th Street,361
3707 South 2nd Street,Red River Street,359
3600 Presidential Boulevard,West 15th Street,352
2023 East 5th Street,2023 East 5th Street,352
709 West 6th Street,2207 De Verne Street,352
Red River Street,3301 Hollywood Avenue,351
2605 Whitis Avenue,1000 East 41st Street,350
Red River Street,1903 Fairlawn Lane,350
4504 Avenue C,709 West 6th Street,349
221 East 9th Street,Ann & Roy Butler Hike and Bike Trail,348
1402 Hillmont Street,1702 Briar Street,345
1403 East 2nd Street,2023 East 5th Street,343
709 West 6th Street,1903 Fairlawn Lane,342
709 West 6th Street,1915 East Martin Luther King Jr Boulevard,342
221 East 9th Street,North Interstate 35,342
1911 Lightsey Road,Red River Street,341
1903 Fairlawn Lane,3600 Presidential Boulevard,340
207 West 18th Street,East 20th Street,338
709 West 6th Street,611 Fairfield Lane,338
1155 Curve Street,West Gibson Street,337
2400 East Oltorf Street,709 West 6th Street,337
221 East 9th Street,1731 East 38½ Street,336
Gillis District Park Trail,Red River Street,336
"Barley Bean, South Lamar Boulevard",Red River Street,335
North Mopac Service Road,3600 Presidential Boulevard,334
1155 Curve Street,1402 Hillmont Street,332
948 East 50th Street,221 East 9th Street,332
11405 Alterra Parkway,Red River Street,330
Red River Street,3304 Guadalupe Street,329
1204 West 29th Street,221 East 9th Street,328
Red River Street,2908 Beanna Street,328
3707 South 2nd Street,3600 Presidential Boulevard,328
2605 Whitis Avenue,3301 Hollywood Avenue,327
East 20th Street,709 West 6th Street,327
2008 Kinney Avenue,1402 Hillmont Street,327
South Interstate 35,221 East 9th Street,326
1500 Royal Crest Drive,1403 East 2nd Street,326
1000 East 41st Street,2505 Longview Street,325
