inicio,fin,cantidad_viajes
8608 Primrose Lane,3811 Avenue H,4
1304 Cometa Street,11405 Alterra Parkway,4
5005 Red Bluff Road,2117 West 49th Street,4
5005 Red Bluff Road,2106 West 7th Street,4
8608 Primrose Lane,4504 Avenue C,4
842 Springdale Road,1400 South Pleasant Valley Road,4
North Mopac Service Road,1903 Fairlawn Lane,4
4707 Weidemar Lane,2241 Cromwell Circle,4
North Mopac Service Road,1731 East 38½ Street,4
1500 Royal Crest Drive,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
"Barley Bean, South Lamar Boulevard",41 Margranita Crescent,4
1157 Salina Street,3708 Meredith Street,4
4707 Weidemar Lane,400 West Saint Elmo Road,4
Gillis District Park Trail,"Cambria Hotel Austin Airport, Discovery Lane",4
4707 Weidemar Lane,3301 Hollywood Avenue,4
1903 Fairlawn Lane,"Circuit of The Americas, Swiss Drive",4
4707 Weidemar Lane,2908 Beanna Street,4
1157 Salina Street,3400 Catalina Drive,4
1000 East 41st Street,1517 Summer Stone Drive,4
5005 Red Bluff Road,2507 Bridle Path,4
"Yellow Jacket Stadium, Hargrave Street",2008 Kinney Avenue,4
106 East 55th Street,41 Margranita Crescent,4
"Panera Bread, North Capital of Texas Highway",3708 Meredith Street,4
8405 Hornet Drive,Gillis District Park Trail,4
1155 Curve Street,5305 East Oltorf Street,4
"Panera Bread, North Capital of Texas Highway",7100 Carver Avenue,4
4701 Monterey Oaks Boulevard,2605 Whitis Avenue,4
North Mopac Service Road,1911 Lightsey Road,4
1155 Curve Street,510 Gate Tree Lane,4
East 20th Street,2108 White Horse Trail,4
5005 Red Bluff Road,2908 Beanna Street,4
"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",East 20th Street,4
Gillis District Park Trail,2305 Newfield Lane,4
811 East Riverside Drive,"Riverside Golf Course, 1020 Grove Boulevard",4
7600 Wood Hollow Drive,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
Gillis District Park Trail,1928 Holly Hill Drive,4
842 Springdale Road,1419 Corona Drive,4
West 15th Street,2212 Village Way Drive,4
8405 Hornet Drive,1500 Royal Crest Drive,4
East 20th Street,1928 Holly Hill Drive,4
7600 Wood Hollow Drive,3567 Ranch to Market Road 2222,4
1155 Curve Street,3005 Scenic Drive,4
1155 Curve Street,2901 Via Fortuna,4
106 East 55th Street,7511 Meadowview Lane,4
1903 Fairlawn Lane,North Mopac Service Road,4
1155 Curve Street,2624 Western Trails Boulevard,4
4707 Weidemar Lane,1104 Flanagan Cove,4
106 East 55th Street,"Barley Bean, South Lamar Boulevard",4
"Barley Bean, South Lamar Boulevard","DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
1155 Curve Street,2204 Vanderbilt Lane,4
1500 Royal Crest Drive,919 Park Plaza,4
8405 Hornet Drive,3304 Guadalupe Street,4
North Interstate 35,7516 Hardy Drive,4
8608 Primrose Lane,Reserve Road,4
5005 Red Bluff Road,909 East Koenig Lane,4
North Interstate 35,"Barley Bean, South Lamar Boulevard",4
12111 Northern Walnut Creek Trail,909 East Koenig Lane,4
1157 Salina Street,405 East Ben White Boulevard,4
106 East 55th Street,811 East Riverside Drive,4
106 East 55th Street,Ann & Roy Hike & Bike Trail,4
4701 Monterey Oaks Boulevard,948 East 50th Street,4
12111 Northern Walnut Creek Trail,8608 Primrose Lane,4
8405 Hornet Drive,2600 La Ronde Street,4
8405 Hornet Drive,2605 Whitis Avenue,4
4701 Monterey Oaks Boulevard,Arnulfo Alonso Way,4
"Barley Bean, South Lamar Boulevard",9669 New Airport Drive,4
1304 Cometa Street,Nash Hernandez Sr Road,4
5005 Red Bluff Road,611 Fairfield Lane,4
8405 Hornet Drive,2500 Candlewood Court,4
North Mopac Service Road,1419 Corona Drive,4
"Panera Bread, North Capital of Texas Highway","Omni Barton Creek Resort, 8108 Barton Club Drives",4
1155 Curve Street,3567 Ranch to Market Road 2222,4
8405 Hornet Drive,1702 Briar Street,4
"Panera Bread, North Capital of Texas Highway",41 Margranita Crescent,4
1155 Curve Street,3501 Duval Road,4
East 20th Street,1104 Flanagan Cove,4
5005 Red Bluff Road,3819 Jefferson Street,4
North Interstate 35,490 Little Texas Lane,4
"Barley Bean, South Lamar Boulevard",North Interstate 35,4
8405 Hornet Drive,1911 Lightsey Road,4
510 Gate Tree Lane,2106 West 7th Street,4
East 20th Street,1304 Cometa Street,4
"Barley Bean, South Lamar Boulevard",5005 Red Bluff Road,4
11700 Stonehollow Drive,2106 West 7th Street,4
1155 Curve Street,3405 Westledge Circle,4
4707 Weidemar Lane,1731 East 38½ Street,4
4701 Monterey Oaks Boulevard,405 East Ben White Boulevard,4
North Mopac Service Road,1204 West 29th Street,4
"Barley Bean, South Lamar Boulevard","Infiniti, Burnet Road",4
"Panera Bread, North Capital of Texas Highway",4504 Avenue C,4
1500 Royal Crest Drive,3126 Honey Tree Lane,4
7600 Wood Hollow Drive,2008 Kinney Avenue,4
"Yellow Jacket Stadium, Hargrave Street",2907 Townes Lane,4
1903 Fairlawn Lane,"Panera Bread, North Capital of Texas Highway",4
7600 Wood Hollow Drive,2023 East 5th Street,4
Gillis District Park Trail,510 Gate Tree Lane,4
1517 Summer Stone Drive,3708 Meredith Street,4
West 15th Street,2003 Northridge Drive,4
1155 Curve Street,2212 Village Way Drive,4
East William Cannon Drive,Reserve Road,4
1517 Summer Stone Drive,2609 Deerfoot Trail,4
Gillis District Park Trail,"Circuit of The Americas, Swiss Drive",4
West Gibson Street,12111 Northern Walnut Creek Trail,4
East William Cannon Drive,2241 Cromwell Circle,4
East 20th Street,4608 Mount Vernon Drive,4
"Cambria Hotel Austin Airport, Discovery Lane",North Interstate 35,4
"Cambria Hotel Austin Airport, Discovery Lane","Omni Barton Creek Resort, 8108 Barton Club Drives",4
842 Springdale Road,7088 Easy Wind Drive,4
1400 South Pleasant Valley Road,2106 Shoalmont Drive,4
"Omni Barton Creek Resort, 8108 Barton Club Drives",Arnulfo Alonso Way,4
1155 Curve Street,"The Pearl, 1301 West Koenig Lane",4
1157 Salina Street,2204 Vanderbilt Lane,4
1304 Cometa Street,3707 South 2nd Street,4
1157 Salina Street,2117 West 49th Street,4
1155 Curve Street,"Life Time, 4210 West Braker Lane",4
East 20th Street,7804 Tisdale Drive,4
811 East Riverside Drive,1204 West 29th Street,4
811 East Riverside Drive,3400 Catalina Drive,4
"Omni Barton Creek Resort, 8108 Barton Club Drives","DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
"Omni Barton Creek Resort, 8108 Barton Club Drives",East 20th Street,4
11700 Stonehollow Drive,1155 Curve Street,4
490 Little Texas Lane,1204 West 29th Street,4
"Popeyes, Cactus Lane",2901 Via Fortuna,4
"Popeyes, Cactus Lane",2793 East 7th Street,4
East William Cannon Drive,3400 Catalina Drive,4
7804 Tisdale Drive,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",3201 Kay Street,4
842 Springdale Road,811 East Riverside Drive,4
106 East 55th Street,2305 Newfield Lane,4
106 East 55th Street,2207 De Verne Street,4
106 East 55th Street,2003 Northridge Drive,4
1157 Salina Street,8608 Primrose Lane,4
"Popeyes, Cactus Lane",2609 Deerfoot Trail,4
7804 Tisdale Drive,South Interstate 35,4
106 East 55th Street,1903 Fairlawn Lane,4
1911 Lightsey Road,2117 West 49th Street,4
"Omni Barton Creek Resort, 8108 Barton Club Drives","Panera Bread, North Capital of Texas Highway",4
1000 East 41st Street,3001 South Congress Avenue,4
1911 Lightsey Road,2241 Cromwell Circle,4
1400 South Pleasant Valley Road,510 Gate Tree Lane,4
1911 Lightsey Road,2404 Kathy Cove,4
North Mopac Service Road,"Omni Barton Creek Resort, 8108 Barton Club Drives",4
811 East Riverside Drive,2508 Aldford Drive,4
1000 East 41st Street,4368 Freidrich Lane,4
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",7511 Meadowview Lane,4
Country Club Creek Trail,1517 Summer Stone Drive,4
Country Club Creek Trail,3707 South 2nd Street,4
1000 East 41st Street,Ann & Roy Butler Hike and Bike Trail,4
1000 East 41st Street,8608 Primrose Lane,4
Country Club Creek Trail,Lady Bird Lake Hike and Bike Trail,4
811 East Riverside Drive,3005 Scenic Drive,4
Country Club Creek Trail,1911 Lightsey Road,4
1000 East 41st Street,5700 South Mopac Expressway,4
1911 Lightsey Road,2600 La Ronde Street,4
Country Club Creek Trail,3001 South Congress Avenue,4
1157 Salina Street,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
490 Little Texas Lane,3811 Avenue H,4
1911 Lightsey Road,2800 Tom Miller Street,4
811 East Riverside Drive,3126 Honey Tree Lane,4
East 20th Street,"Circuit of The Americas, Swiss Drive",4
1157 Salina Street,"Cambria Hotel Austin Airport, Discovery Lane",4
1000 East 41st Street,3201 Kay Street,4
1157 Salina Street,"The Pearl, 1301 West Koenig Lane",4
West Gibson Street,7516 Hardy Drive,4
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard","St. Edwards University, 3001 South Congress Avenue",4
490 Little Texas Lane,2609 Deerfoot Trail,4
811 East Riverside Drive,2108 White Horse Trail,4
1157 Salina Street,1204 West 29th Street,4
West Gibson Street,2901 Via Fortuna,4
811 East Riverside Drive,3309 East 17th Street,4
1157 Salina Street,"Panera Bread, North Capital of Texas Highway",4
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",6210 Shadow Valley Drive,4
842 Springdale Road,3001 South Congress Avenue,4
1157 Salina Street,1928 Holly Hill Drive,4
East William Cannon Drive,1517 Summer Stone Drive,4
490 Little Texas Lane,7088 Easy Wind Drive,4
"Panera Bread, North Capital of Texas Highway",1106 Clayton Lane,4
7804 Tisdale Drive,Arboretum Boulevard,4
106 East 55th Street,2609 Deerfoot Trail,4
"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4701 Monterey Oaks Boulevard,4
7804 Tisdale Drive,313 Lone Oak Drive,4
5005 Red Bluff Road,1204 West 29th Street,4
"Panera Bread, North Capital of Texas Highway",3001 West Anderson Lane,4
1155 Curve Street,7600 Wood Hollow Drive,4
7804 Tisdale Drive,3301 Hollywood Avenue,4
5005 Red Bluff Road,1104 Flanagan Cove,4
5005 Red Bluff Road,106 East 55th Street,4
"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4504 Avenue C,4
"Cambria Hotel Austin Airport, Discovery Lane",842 Springdale Road,4
"Popeyes, Cactus Lane",Lady Bird Lake Hike and Bike Trail,4
5001 Wasson Road,Shops at Arbor Trail,4
"Panera Bread, North Capital of Texas Highway",2023 East 5th Street,4
8608 Primrose Lane,1629 West 11 1/2 Street,4
5001 Wasson Road,Gillis District Park Trail,4
5001 Wasson Road,East 20th Street,4
West 15th Street,8608 Primrose Lane,4
"Yellow Jacket Stadium, Hargrave Street",1629 West 11 1/2 Street,4
"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",8608 Primrose Lane,4
8608 Primrose Lane,2800 Tom Miller Street,4
7804 Tisdale Drive,2106 Shoalmont Drive,4
811 East Riverside Drive,"Panera Bread, North Capital of Texas Highway",4
4707 Weidemar Lane,4200 North Lamar Boulevard,4
"Panera Bread, North Capital of Texas Highway",3309 East 17th Street,4
7804 Tisdale Drive,1157 Salina Street,4
11700 Stonehollow Drive,2023 East 5th Street,4
7804 Tisdale Drive,12111 Northern Walnut Creek Trail,4
Gillis District Park Trail,1731 East 38½ Street,4
West 15th Street,5001 Wasson Road,4
7804 Tisdale Drive,1500 Royal Crest Drive,4
West 15th Street,5305 East Oltorf Street,4
106 East 55th Street,3405 Westledge Circle,4
8608 Primrose Lane,3301 Hollywood Avenue,4
North Mopac Service Road,2204 Vanderbilt Lane,4
8608 Primrose Lane,313 Lone Oak Drive,4
8608 Primrose Lane,3001 West Anderson Lane,4
8608 Primrose Lane,12111 Northern Walnut Creek Trail,4
West 15th Street,919 Park Plaza,4
East William Cannon Drive,East 20th Street,4
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",2400 East Oltorf Street,4
5001 Wasson Road,2400 East Oltorf Street,4
5001 Wasson Road,2241 Cromwell Circle,4
7804 Tisdale Drive,7804 Tisdale Drive,4
842 Springdale Road,"The Pearl, 1301 West Koenig Lane",4
1157 Salina Street,7804 Tisdale Drive,4
7804 Tisdale Drive,948 East 50th Street,4
East William Cannon Drive,4200 North Lamar Boulevard,4
1911 Lightsey Road,4701 Monterey Oaks Boulevard,4
11700 Stonehollow Drive,1400 South Pleasant Valley Road,4
5001 Wasson Road,1928 Holly Hill Drive,4
North Mopac Service Road,3018 Spirit of Texas Drive,4
North Mopac Service Road,3201 Kay Street,4
5001 Wasson Road,1915 East Martin Luther King Jr Boulevard,4
1400 South Pleasant Valley Road,400 West Saint Elmo Road,4
811 East Riverside Drive,4608 Mount Vernon Drive,4
811 East Riverside Drive,5209 North Lamar Boulevard,4
"Panera Bread, North Capital of Texas Highway",1903 Fairlawn Lane,4
5001 Wasson Road,842 Springdale Road,4
7804 Tisdale Drive,7516 Hardy Drive,4
"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",3301 Hollywood Avenue,4
1304 Cometa Street,2106 Shoalmont Drive,4
"Cambria Hotel Austin Airport, Discovery Lane",2793 East 7th Street,4
842 Springdale Road,2203 Philomena Street,4
1155 Curve Street,919 Park Plaza,4
1304 Cometa Street,2117 West 49th Street,4
1304 Cometa Street,2203 Philomena Street,4
4707 Weidemar Lane,"Popeyes, Cactus Lane",4
8608 Primrose Lane,1155 Curve Street,4
"Cambria Hotel Austin Airport, Discovery Lane",3001 South Congress Avenue,4
106 East 55th Street,2904 Barton Skyway,4
7804 Tisdale Drive,7511 Meadowview Lane,4
811 East Riverside Drive,7088 Easy Wind Drive,4
"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",2800 Tom Miller Street,4
East William Cannon Drive,4707 Weidemar Lane,4
1702 Briar Street,7600 Wood Hollow Drive,4
909 East Koenig Lane,5005 Red Bluff Road,4
North Interstate 35,3811 Avenue H,4
1731 East 38½ Street,4707 Weidemar Lane,4
Ann & Roy Hike & Bike Trail,"Cambria Hotel Austin Airport, Discovery Lane",4
Riata Trace Parkway,4501 Rowood Road,4
1204 West 29th Street,7088 Easy Wind Drive,4
1104 Flanagan Cove,1731 East 38½ Street,4
Ann & Roy Hike & Bike Trail,Lady Bird Lake Hike and Bike Trail,4
1104 Flanagan Cove,1517 Summer Stone Drive,4
"St. Edwards University, 3001 South Congress Avenue",1517 Summer Stone Drive,4
1731 East 38½ Street,4501 Rowood Road,4
Riata Trace Parkway,3304 Guadalupe Street,4
1104 Flanagan Cove,North Mopac Service Road,4
1104 Flanagan Cove,1400 South Pleasant Valley Road,4
9669 New Airport Drive,1915 East Martin Luther King Jr Boulevard,4
600 Hammack Drive,Riata Trace Parkway,4
9669 New Airport Drive,7100 Carver Avenue,4
1104 Flanagan Cove,1204 West 29th Street,4
"Lions Municipal Golf Course, 2901 Enfield Road",4504 Avenue C,4
"St. Edwards University, 3001 South Congress Avenue",2203 Philomena Street,4
600 Hammack Drive,Gillis District Park Trail,4
1629 West 11 1/2 Street,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
600 Hammack Drive,East 20th Street,4
9669 New Airport Drive,207 West 18th Street,4
Ann & Roy Hike & Bike Trail,"St. Edwards University, 3001 South Congress Avenue",4
1204 West 29th Street,5005 Red Bluff Road,4
South Mopac Service Road,Shops at Arbor Trail,4
South Mopac Service Road,Reserve Road,4
Riata Trace Parkway,7088 Easy Wind Drive,4
611 Fairfield Lane,3708 Meredith Street,4
"Lions Municipal Golf Course, 2901 Enfield Road",2106 Shoalmont Drive,4
1204 West 29th Street,490 Little Texas Lane,4
Riata Trace Parkway,"Great Hills Park & Ride, OChester Boulevard",4
611 Fairfield Lane,2904 Barton Skyway,4
1731 East 38½ Street,2507 Bridle Path,4
611 Fairfield Lane,2600 La Ronde Street,4
611 Fairfield Lane,2507 Bridle Path,4
1731 East 38½ Street,2600 La Ronde Street,4
Lady Bird Lake Hike and Bike Trail,2901 Via Fortuna,4
1403 East 2nd Street,2901 Via Fortuna,4
1104 Flanagan Cove,1928 Holly Hill Drive,4
South Mopac Service Road,3707 South 2nd Street,4
611 Fairfield Lane,2204 Vanderbilt Lane,4
1731 East 38½ Street,3001 South Congress Avenue,4
1731 East 38½ Street,3018 Spirit of Texas Drive,4
Lady Bird Lake Hike and Bike Trail,2702 Valley Spring Road,4
Ann & Roy Hike & Bike Trail,909 East Koenig Lane,4
South Mopac Service Road,811 East Riverside Drive,4
1204 West 29th Street,2203 Philomena Street,4
9669 New Airport Drive,Ann & Roy Butler Hike and Bike Trail,4
1204 West 29th Street,9669 New Airport Drive,4
600 Hammack Drive,Ann & Roy Butler Hike and Bike Trail,4
"Riverside Golf Course, 1020 Grove Boulevard",1106 Clayton Lane,4
600 Hammack Drive,2002 Dexter Street,4
600 Hammack Drive,2400 East Oltorf Street,4
"Infiniti, Burnet Road","St. Edwards University, 3001 South Congress Avenue",4
948 East 50th Street,Arboretum Boulevard,4
948 East 50th Street,Ann & Roy Butler Hike and Bike Trail,4
"St. Edwards University, 3001 South Congress Avenue","DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
948 East 50th Street,9669 New Airport Drive,4
948 East 50th Street,919 Park Plaza,4
1419 Corona Drive,2002 Dexter Street,4
1731 East 38½ Street,Arboretum Boulevard,4
600 Hammack Drive,2015 Cedar Bend Drive,4
"Infiniti, Burnet Road","Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
1104 Flanagan Cove,1000 East 41st Street,4
1731 East 38½ Street,"Barley Bean, South Lamar Boulevard",4
600 Hammack Drive,1911 Lightsey Road,4
"Infiniti, Burnet Road",North Interstate 35,4
948 East 50th Street,7516 Hardy Drive,4
"St. Edwards University, 3001 South Congress Avenue","Infiniti, Burnet Road",4
1629 West 11 1/2 Street,2800 Tom Miller Street,4
"Infiniti, Burnet Road","Great Hills Park & Ride, OChester Boulevard",4
Reserve Road,6210 Shadow Valley Drive,4
1629 West 11 1/2 Street,2500 Candlewood Court,4
1731 East 38½ Street,Nash Hernandez Sr Road,4
110 Oertli Lane,8608 Primrose Lane,4
"St. Edwards University, 3001 South Congress Avenue",Arnulfo Alonso Way,4
"St. Edwards University, 3001 South Congress Avenue",9669 New Airport Drive,4
Arboretum Boulevard,1731 East 38½ Street,4
110 Oertli Lane,"St. Francis School, Twin Crest Drive",4
"Lions Municipal Golf Course, 2901 Enfield Road",909 East Koenig Lane,4
Riata Trace Parkway,12111 Northern Walnut Creek Trail,4
9669 New Airport Drive,1702 Briar Street,4
1629 West 11 1/2 Street,842 Springdale Road,4
"Lions Municipal Golf Course, 2901 Enfield Road",Ann & Roy Butler Hike and Bike Trail,4
"Lions Municipal Golf Course, 2901 Enfield Road",Gillis District Park Trail,4
1104 Flanagan Cove,"The Pearl, 1301 West Koenig Lane",4
948 East 50th Street,South Interstate 35,4
Arboretum Boulevard,1155 Curve Street,4
1204 West 29th Street,Arnulfo Alonso Way,4
"St. Edwards University, 3001 South Congress Avenue",4701 Monterey Oaks Boulevard,4
600 Hammack Drive,3708 Meredith Street,4
Lady Bird Lake Hike and Bike Trail,1731 East 38½ Street,4
600 Hammack Drive,3567 Ranch to Market Road 2222,4
"St. Edwards University, 3001 South Congress Avenue",5209 North Lamar Boulevard,4
1106 Clayton Lane,110 Oertli Lane,4
"St. Edwards University, 3001 South Congress Avenue",611 Fairfield Lane,4
600 Hammack Drive,3005 Scenic Drive,4
1629 West 11 1/2 Street,4608 Mount Vernon Drive,4
Nash Hernandez Sr Road,1106 Clayton Lane,4
1104 Flanagan Cove,2003 Northridge Drive,4
1731 East 38½ Street,2204 Vanderbilt Lane,4
1500 Royal Crest Drive,2108 White Horse Trail,4
1204 West 29th Street,2904 Barton Skyway,4
Ann & Roy Hike & Bike Trail,11405 Alterra Parkway,4
7088 Easy Wind Drive,Riata Trace Parkway,4
Lady Bird Lake Hike and Bike Trail,"Great Hills Park & Ride, OChester Boulevard",4
Shops at Arbor Trail,1403 East 2nd Street,4
7088 Easy Wind Drive,"The Pearl, 1301 West Koenig Lane",4
South Interstate 35,2117 West 49th Street,4
Lady Bird Lake Hike and Bike Trail,948 East 50th Street,4
1104 Flanagan Cove,490 Little Texas Lane,4
1104 Flanagan Cove,5001 Wasson Road,4
1104 Flanagan Cove,5209 North Lamar Boulevard,4
6210 Shadow Valley Drive,8608 Primrose Lane,4
6210 Shadow Valley Drive,2106 Shoalmont Drive,4
"Riverside Golf Course, 1020 Grove Boulevard","Cambria Hotel Austin Airport, Discovery Lane",4
"Riverside Golf Course, 1020 Grove Boulevard",Ann & Roy Hike & Bike Trail,4
1702 Briar Street,5606 Penick Drive,4
Ann & Roy Butler Hike and Bike Trail,4200 North Lamar Boulevard,4
6210 Shadow Valley Drive,4504 Avenue C,4
Ann & Roy Butler Hike and Bike Trail,41 Margranita Crescent,4
6210 Shadow Valley Drive,3304 Guadalupe Street,4
Lady Bird Lake Hike and Bike Trail,611 Fairfield Lane,4
Lady Bird Lake Hike and Bike Trail,600 Hammack Drive,4
Lady Bird Lake Hike and Bike Trail,5005 Red Bluff Road,4
7088 Easy Wind Drive,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
Ann & Roy Hike & Bike Trail,1104 Flanagan Cove,4
Ann & Roy Butler Hike and Bike Trail,"Yellow Jacket Stadium, Hargrave Street",4
7088 Easy Wind Drive,"Life Time, 4210 West Braker Lane",4
Shops at Arbor Trail,South Mopac Service Road,4
Lady Bird Lake Hike and Bike Trail,"St. Francis School, Twin Crest Drive",4
7088 Easy Wind Drive,490 Little Texas Lane,4
Shops at Arbor Trail,South Interstate 35,4
1403 East 2nd Street,919 Park Plaza,4
7088 Easy Wind Drive,811 East Riverside Drive,4
Ann & Roy Butler Hike and Bike Trail,9669 New Airport Drive,4
1104 Flanagan Cove,4368 Freidrich Lane,4
7088 Easy Wind Drive,842 Springdale Road,4
1104 Flanagan Cove,3819 Jefferson Street,4
7088 Easy Wind Drive,3707 South 2nd Street,4
South Interstate 35,1629 West 11 1/2 Street,4
7088 Easy Wind Drive,3001 West Anderson Lane,4
1104 Flanagan Cove,4501 Rowood Road,4
1702 Briar Street,"Circuit of The Americas, Swiss Drive",4
7088 Easy Wind Drive,Arboretum Boulevard,4
"Life Time, 4210 West Braker Lane",1157 Salina Street,4
1702 Briar Street,East William Cannon Drive,4
Lady Bird Lake Hike and Bike Trail,"Infiniti, Burnet Road",4
Lady Bird Lake Hike and Bike Trail,"Hotel Granduca Pool, Capital Ridge Driveway",4
Shops at Arbor Trail,2212 Village Way Drive,4
6210 Shadow Valley Drive,2117 West 49th Street,4
"Life Time, 4210 West Braker Lane",3304 Guadalupe Street,4
Ann & Roy Hike & Bike Trail,3707 South 2nd Street,4
South Interstate 35,"Panera Bread, North Capital of Texas Highway",4
Ann & Roy Butler Hike and Bike Trail,2305 Newfield Lane,4
"Life Time, 4210 West Braker Lane",East 20th Street,4
Ann & Roy Butler Hike and Bike Trail,2241 Cromwell Circle,4
"Lions Municipal Golf Course, 2901 Enfield Road",11405 Alterra Parkway,4
1104 Flanagan Cove,909 East Koenig Lane,4
1104 Flanagan Cove,9669 New Airport Drive,4
1104 Flanagan Cove,2400 East Oltorf Street,4
1731 East 38½ Street,1400 South Pleasant Valley Road,4
1104 Flanagan Cove,Ann & Roy Hike & Bike Trail,4
1204 West 29th Street,2305 Newfield Lane,4
1403 East 2nd Street,"Omni Barton Creek Resort, 8108 Barton Club Drives",4
6210 Shadow Valley Drive,1915 East Martin Luther King Jr Boulevard,4
1702 Briar Street,2204 Vanderbilt Lane,4
611 Fairfield Lane,7600 Wood Hollow Drive,4
"Riverside Golf Course, 1020 Grove Boulevard",1517 Summer Stone Drive,4
1731 East 38½ Street,2003 Northridge Drive,4
"Lions Municipal Golf Course, 2901 Enfield Road",1500 Royal Crest Drive,4
South Mopac Service Road,1403 East 2nd Street,4
Ann & Roy Butler Hike and Bike Trail,1517 Summer Stone Drive,4
1731 East 38½ Street,2106 Shoalmont Drive,4
611 Fairfield Lane,4608 Mount Vernon Drive,4
611 Fairfield Lane,4368 Freidrich Lane,4
"Life Time, 4210 West Braker Lane",611 Fairfield Lane,4
1403 East 2nd Street,"Hotel Granduca Pool, Capital Ridge Driveway",4
611 Fairfield Lane,"Panera Bread, North Capital of Texas Highway",4
Ann & Roy Butler Hike and Bike Trail,2507 Bridle Path,4
Lady Bird Lake Hike and Bike Trail,5001 Wasson Road,4
"Life Time, 4210 West Braker Lane",3567 Ranch to Market Road 2222,4
South Interstate 35,3301 Hollywood Avenue,4
Lady Bird Lake Hike and Bike Trail,4707 Weidemar Lane,4
Ann & Roy Butler Hike and Bike Trail,3819 Jefferson Street,4
6210 Shadow Valley Drive,1402 Hillmont Street,4
6210 Shadow Valley Drive,1157 Salina Street,4
"Life Time, 4210 West Braker Lane",400 1/2 South 1st Street,4
"Riverside Golf Course, 1020 Grove Boulevard",490 Little Texas Lane,4
6210 Shadow Valley Drive,1000 East 41st Street,4
Ann & Roy Butler Hike and Bike Trail,3309 East 17th Street,4
South Interstate 35,3819 Jefferson Street,4
"Life Time, 4210 West Braker Lane",4501 Rowood Road,4
"Life Time, 4210 West Braker Lane",600 Hammack Drive,4
1731 East 38½ Street,1104 Flanagan Cove,4
South Interstate 35,510 Gate Tree Lane,4
Ann & Roy Butler Hike and Bike Trail,2800 Tom Miller Street,4
Ann & Roy Butler Hike and Bike Trail,2609 Deerfoot Trail,4
1104 Flanagan Cove,2507 Bridle Path,4
South Interstate 35,919 Park Plaza,4
611 Fairfield Lane,"Popeyes, Cactus Lane",4
5701 Mojave Drive,Nash Hernandez Sr Road,4
948 East 50th Street,400 West Saint Elmo Road,4
948 East 50th Street,3819 Jefferson Street,4
110 Oertli Lane,1400 South Pleasant Valley Road,4
"The Pearl, 1301 West Koenig Lane",7511 Meadowview Lane,4
1106 Clayton Lane,811 East Riverside Drive,4
1106 Clayton Lane,Arboretum Boulevard,4
1106 Clayton Lane,Arnulfo Alonso Way,4
1106 Clayton Lane,Gillis District Park Trail,4
Arnulfo Alonso Way,West 15th Street,4
"Hotel Granduca Pool, Capital Ridge Driveway",2002 Dexter Street,4
7511 Meadowview Lane,Ann & Roy Butler Hike and Bike Trail,4
South Interstate 35,1000 East 41st Street,4
1903 Fairlawn Lane,2907 Townes Lane,4
1903 Fairlawn Lane,3001 West Anderson Lane,4
11405 Alterra Parkway,1731 East 38½ Street,4
7511 Meadowview Lane,East William Cannon Drive,4
5209 North Lamar Boulevard,811 East Riverside Drive,4
909 East Koenig Lane,3567 Ranch to Market Road 2222,4
"Barley Bean, South Lamar Boulevard",1304 Cometa Street,4
7511 Meadowview Lane,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
11405 Alterra Parkway,1204 West 29th Street,4
11405 Alterra Parkway,1419 Corona Drive,4
7511 Meadowview Lane,Reserve Road,4
5209 North Lamar Boulevard,490 Little Texas Lane,4
"Hotel Granduca Pool, Capital Ridge Driveway",1155 Curve Street,4
5209 North Lamar Boulevard,"St. Edwards University, 3001 South Congress Avenue",4
7511 Meadowview Lane,7600 Wood Hollow Drive,4
909 East Koenig Lane,5700 South Mopac Expressway,4
"The Pearl, 1301 West Koenig Lane",7088 Easy Wind Drive,4
909 East Koenig Lane,Country Club Creek Trail,4
